行为时间,view_duration,tp_video_view
2023-11-29 00:00:00,1206.951,0
2023-11-29 00:00:00,123.106,0
2023-11-29 00:00:00,127,0
2023-11-29 00:00:00,1275,0
2023-11-29 00:00:00,13.095,0
2023-11-29 00:00:00,13.811,0
2023-11-29 00:00:00,13.855,0
2023-11-29 00:00:00,13.921,0
2023-11-29 00:00:00,131,0
2023-11-29 00:00:00,131.74,0
2023-11-29 00:00:00,133,0
2023-11-29 00:00:00,135,0
2023-11-29 00:00:00,1365,0
2023-11-29 00:00:00,1366,0
2023-11-29 00:00:00,1367,0
2023-11-29 00:00:00,1369,0
2023-11-29 00:00:00,1373,0
2023-11-29 00:00:00,1378,0
2023-11-29 00:00:00,1379,0
2023-11-29 00:00:00,138.188,0
2023-11-29 00:00:00,1385,0
2023-11-29 00:00:00,1386,0
2023-11-29 00:00:00,1387,0
2023-11-29 00:00:00,14.109,1
2023-11-29 00:00:00,14.39,0
2023-11-29 00:00:00,14.682,0
2023-11-29 00:00:00,14.857,0
2023-11-29 00:00:00,141.504,0
2023-11-29 00:00:00,142.227,0
2023-11-29 00:00:00,1425,0
2023-11-29 00:00:00,144,0
2023-11-29 00:00:00,145,0
2023-11-29 00:00:00,145.394,0
2023-11-29 00:00:00,148,0
2023-11-29 00:00:00,149.618,0
2023-11-29 00:00:00,15.489,1
2023-11-29 00:00:00,15.551,0
2023-11-29 00:00:00,15.947,0
2023-11-29 00:00:00,150.566,0
2023-11-29 00:00:00,152,0
2023-11-29 00:00:00,155.28,0
2023-11-29 00:00:00,156,0
2023-11-29 00:00:00,156.503,0
2023-11-29 00:00:00,16.106,0
2023-11-29 00:00:00,16.222,0
2023-11-29 00:00:00,16.466,0
2023-11-29 00:00:00,16.604,1
2023-11-29 00:00:00,16.675,0
2023-11-29 00:00:00,16.765,0
2023-11-29 00:00:00,164,0
2023-11-29 00:00:00,1642,1
2023-11-29 00:00:00,165.896,0
2023-11-29 00:00:00,166,0
2023-11-29 00:00:00,167.134,0
2023-11-29 00:00:00,167.568,0
2023-11-29 00:00:00,168.264,0
2023-11-29 00:00:00,169.295,0
2023-11-29 00:00:00,17.219,0
2023-11-29 00:00:00,17.249,0
2023-11-29 00:00:00,17.318,0
2023-11-29 00:00:00,170.952,0
2023-11-29 00:00:00,1701356704,0
2023-11-29 00:00:00,1703028952,0
2023-11-29 00:00:00,171.005,0
2023-11-29 00:00:00,171.461,0
2023-11-29 00:00:00,172.34,0
2023-11-29 00:00:00,172.355,0
2023-11-29 00:00:00,173.005,0
2023-11-29 00:00:00,173.238,0
2023-11-29 00:00:00,173.455,0
2023-11-29 00:00:00,173.955,0
2023-11-29 00:00:00,174.138,0
2023-11-29 00:00:00,174.789,0
2023-11-29 00:00:00,175,0
2023-11-29 00:00:00,176.482,0
2023-11-29 00:00:00,178,0
2023-11-29 00:00:00,179,0
2023-11-29 00:00:00,18.192,0
2023-11-29 00:00:00,18.405,0
2023-11-29 00:00:00,1824,0
2023-11-29 00:00:00,186.932,0
2023-11-29 00:00:00,188,0
2023-11-29 00:00:00,19.39,0
2023-11-29 00:00:00,19.895,0
2023-11-29 00:00:00,190,0
2023-11-29 00:00:00,191,0
2023-11-29 00:00:00,193,0
2023-11-29 00:00:00,194,0
2023-11-29 00:00:00,194.89,0
2023-11-29 00:00:00,196,0
2023-11-29 00:00:00,197.457,0
2023-11-29 00:00:00,199.142,0
2023-11-29 00:00:00,2.016,0
2023-11-29 00:00:00,2.017,0
2023-11-29 00:00:00,2.031,0
2023-11-29 00:00:00,2.11,0
2023-11-29 00:00:00,2.161,0
2023-11-29 00:00:00,2.24,0
2023-11-29 00:00:00,2.247,0
2023-11-29 00:00:00,2.324,0
2023-11-29 00:00:00,2.337,0
2023-11-29 00:00:00,2.386,0
2023-11-29 00:00:00,2.412,0
2023-11-29 00:00:00,2.497,0
2023-11-29 00:00:00,2.516,0
2023-11-29 00:00:00,2.544,0
2023-11-29 00:00:00,2.709,0
2023-11-29 00:00:00,2.788,0
2023-11-29 00:00:00,2.896,0
2023-11-29 00:00:00,2.943,0
2023-11-29 00:00:00,2.973,0
2023-11-29 00:00:00,2.985,0
2023-11-29 00:00:00,2.987,0
2023-11-29 00:00:00,20.162,0
2023-11-29 00:00:00,20.49,0
2023-11-29 00:00:00,20.592,0
2023-11-29 00:00:00,200.058,0
2023-11-29 00:00:00,200.825,0
2023-11-29 00:00:00,201.529,0
2023-11-29 00:00:00,201.753,0
2023-11-29 00:00:00,202.058,0
2023-11-29 00:00:00,202.808,0
2023-11-29 00:00:00,203.953,0
2023-11-29 00:00:00,205.391,0
2023-11-29 00:00:00,205.598,0
2023-11-29 00:00:00,207,0
2023-11-29 00:00:00,207.122,0
2023-11-29 00:00:00,207.295,0
2023-11-29 00:00:00,207.591,0
2023-11-29 00:00:00,207.762,0
2023-11-29 00:00:00,208,0
2023-11-29 00:00:00,208.491,0
2023-11-29 00:00:00,2081,0
2023-11-29 00:00:00,209,0
2023-11-29 00:00:00,21.035,0
2023-11-29 00:00:00,21.203,0
2023-11-29 00:00:00,210.071,0
2023-11-29 00:00:00,210.137,0
2023-11-29 00:00:00,210.3,0
2023-11-29 00:00:00,210.516,0
2023-11-29 00:00:00,211.42,0
2023-11-29 00:00:00,211.854,0
2023-11-29 00:00:00,212.308,0
2023-11-29 00:00:00,214,0
2023-11-29 00:00:00,215,0
2023-11-29 00:00:00,215.828,0
2023-11-29 00:00:00,216,0
2023-11-29 00:00:00,216.488,0
2023-11-29 00:00:00,216.974,0
2023-11-29 00:00:00,217.724,0
2023-11-29 00:00:00,22.183,0
2023-11-29 00:00:00,22.859,0
2023-11-29 00:00:00,221.418,0
2023-11-29 00:00:00,221.639,0
2023-11-29 00:00:00,221.654,0
2023-11-29 00:00:00,221.837,0
2023-11-29 00:00:00,223,0
2023-11-29 00:00:00,226,0
2023-11-29 00:00:00,228.074,0
2023-11-29 00:00:00,228.941,0
2023-11-29 00:00:00,23.252,0
2023-11-29 00:00:00,23.593,0
2023-11-29 00:00:00,23.879,0
2023-11-29 00:00:00,23.913,0
2023-11-29 00:00:00,23.96,0
2023-11-29 00:00:00,230,0
2023-11-29 00:00:00,235.3,0
2023-11-29 00:00:00,236,0
2023-11-29 00:00:00,236.136,0
2023-11-29 00:00:00,2363,0
2023-11-29 00:00:00,237,0
2023-11-29 00:00:00,237.959,1
2023-11-29 00:00:00,238,0
2023-11-29 00:00:00,238.525,1
2023-11-29 00:00:00,24.235,0
2023-11-29 00:00:00,24.877,0
2023-11-29 00:00:00,24.984,0
2023-11-29 00:00:00,24.989,0
2023-11-29 00:00:00,242,0
2023-11-29 00:00:00,243,0
2023-11-29 00:00:00,244,1
2023-11-29 00:00:00,247.347,0
2023-11-29 00:00:00,248,0
2023-11-29 00:00:00,248.841,0
2023-11-29 00:00:00,249,0
2023-11-29 00:00:00,249.896,0
2023-11-29 00:00:00,249.971,0
2023-11-29 00:00:00,25.101,0
2023-11-29 00:00:00,25.711,0
2023-11-29 00:00:00,25.736,0
2023-11-29 00:00:00,250,0
